URL,Title,Location,Salary,Summary
https://uk.indeed.com/rc/clk?jk=1b861f002b9cda37&fccid=9013fe46d330e874&vjs=3,Engineer (Golang) - Customer & Data,London EC1N,,"As an Engineer (Golang), you’ll be part of one of our Engineering teams, creating great products by interpreting and following best practice architectural and…"
https://uk.indeed.com/rc/clk?jk=6238d35e349ea4dd&fccid=b15b0bdabdeca9e3&vjs=3,Full Stack (Golang) Engineer,Stoke-on-Trent,"£35,000 - £55,000 a year","A degree in computer science, or equivalent practical experience.4+ years of experience in software design and web development."
https://uk.indeed.com/rc/clk?jk=f74079eceb936aa4&fccid=ea1f64b071408cc5&vjs=3,"Front End Developer (React, Golang, WCAG Guidelines)",England,£500 - £550 a day,"£500 - £550 per day + INSIDE IR35 (rates are flexible).Front End Developer (React, Golang and WCAG Guidelines) - Public Sector."
https://uk.indeed.com/rc/clk?jk=ff388e82002a42a0&fccid=7c810ca419168ca0&vjs=3,Software Engineer,London SW7 1JP,,"As a Software Engineer, you will be joining Hive’s platform team and will contribute to building new as well as improving existing Hive services and solutions…"
https://uk.indeed.com/rc/clk?jk=f7343061548b8aea&fccid=c7414b794cb89c1c&vjs=3,Golang Engineer,London,£550 - £625 a day,"If you have worked with Golang extensively or have a solid understanding of microservices and distributed systems with a desire to work with Golang, then this…"
https://uk.indeed.com/rc/clk?jk=d9dbfa5bad496f04&fccid=8c6e29466828cf34&vjs=3,Senior Backend Engineer,London,£550 - £600 a day,Senior Backend Developer - Information Security.Up to £600 per day dependant on experience - Inside IR35.Building microservice based automation pipelines to…
https://uk.indeed.com/rc/clk?jk=634005a7d0536f8b&fccid=f057e04c37cca134&vjs=3,Senior Golang Engineer,Burgess Hill,,At least 6 months of hands on experience with golang preferred.You will be challenged with identifying innovative ideas and proof of concept to deliver against…
https://uk.indeed.com/rc/clk?jk=6ddf22e4a54df132&fccid=578621a8811c87eb&vjs=3,Software Engineer - Go (Golang),London WC2N 5DU,,"Juni is revolutionizing banking for digital entrepreneurs.Our customers can focus on their passion and customers, while Juni gives them full insight into their…"
https://uk.indeed.com/rc/clk?jk=cf19eeb567c88cab&fccid=18d0aa239188acab&vjs=3,Golang Developer,London,,They are going for their series B funding this summer and plan to double their head count in the next 12 months.Experience of designing APIs with GraphQL.
https://uk.indeed.com/rc/clk?jk=52e1fdc134ad032a&fccid=d72eb0548d91249c&vjs=3,Golang Engineer (Contract) Inside IR35,London,£500 - £600 a day,"Experience of Cloud technologies (AWS, GCP).Experience of containers (Docker, Kubernetes)."
https://uk.indeed.com/rc/clk?jk=bfc35bb0e244684c&fccid=587ca793c0027a4f&vjs=3,Software Engineer - Golang!,Manchester,,If you have experience developing applications using Go programming language (or willingness to learn) along with experience with either the three major cloud…
https://uk.indeed.com/rc/clk?jk=869032470a1ac727&fccid=64e4cdd7435d8c42&vjs=3,Sr. Engineer - Golang (Remote),United Kingdom,,The content team focusses on continuous extraction and near-real-time analysis of security vulnerability information & knowledge base available in public domain…
https://uk.indeed.com/rc/clk?jk=36df1b1893569c38&fccid=1527bc08757906b8&vjs=3,Cross-Train Golang Software Engineer,London,"£40,000 - £80,000 a year","This exciting and ambitious start-up is looking for experienced Software Engineers who have experience using technologies such as; C/C++, C#, Java, Python,…"
https://uk.indeed.com/rc/clk?jk=e0c56a82515cb933&fccid=9d96e96c04ab56f9&vjs=3,Golang Developer (Fully Remote),London,"£50,000 - £60,000 a year",Golang Developer / Senior Golang Developer / APIs / Data / AWS / Web / Architecture / Fully Remote / UK / EU.£50 – £60K (Depending on Experience).
https://uk.indeed.com/rc/clk?jk=858b05e63e3c107a&fccid=1527bc08757906b8&vjs=3,Senior Golang Developer,London,"£65,000 - £100,000 a year","We are looking for talented people with a focus on delivering solutions to our customers, a genuine passion for problem solving, coding and who enjoy being…"
https://uk.indeed.com/rc/clk?jk=d692dfc078edb27e&fccid=1976b8742794eede&vjs=3,Cross-Train Golang Software Engineer,London,"£40,000 - £80,000 a year","This exciting and ambitious start-up is looking for experienced Software Engineers who have experience using technologies such as; C/C++, C#, Java, Python,…"
https://uk.indeed.com/rc/clk?jk=215821226e115b46&fccid=ca6e2432035dcd64&vjs=3,Software Technical Lead (Golang /Typescript /C#),Greater Manchester,"£50,000 - £75,000 a year",£50k - 75k per year.They are seeking a true tech advocate with a wealth of experience in programming languages to drive best practice and champion their…
https://uk.indeed.com/rc/clk?jk=9f9620a02e1c227e&fccid=9013fe46d330e874&vjs=3,Test Engineer (Automation) - Customer and Data,London EC1N,,"As a Test Engineer, you’ll be part of one of our Engineering teams, creating great products by interpreting and following best practice architectural and…"
https://uk.indeed.com/rc/clk?jk=f9ce96951533b99d&fccid=71d9b918578c004a&vjs=3,Platform Engineer (Contract),London,,We are now looking for a consultant to come in on a contract basis and share their knowledge and expertise to assist Attest in a project that will level up our…
https://uk.indeed.com/rc/clk?jk=252210dd2c06678a&fccid=9013fe46d330e874&vjs=3,Associate Engineer - Java - Colleague & Operations,London EC1N,,"Every week we move millions of products to our customers at record speeds.Brilliant customer experiences at this kind of pace, require fresh and appealing…"
https://uk.indeed.com/rc/clk?jk=abd27b4c1847a90a&fccid=8bda5ae2f5d68606&vjs=3,GoLang Engineer,London,,And rewards you for the impact you make on customer's lives.In-depth knowledge of Golang.Knowledge of both Continuous Integration and Continuous Deployment …
https://uk.indeed.com/rc/clk?jk=7e1f25c25bc0e6db&fccid=22802a3c9cf9578d&vjs=3,Software Engineer General Interest,London,,Our engineers regularly work with peers in field engineering and experience the full lifecycle of the systems they build.Language design and type systems.
https://uk.indeed.com/rc/clk?jk=714e7bab9ef36891&fccid=51cdf18e3e4b5a5a&vjs=3,Lead Golang Developer – Fully-Remote,United Kingdom,,"You will join a Development team of 9 people as one of the Senior figures, responsible for designing, testing, deploying and maintaining backend infrastructure."
https://uk.indeed.com/rc/clk?jk=247f4db5ae7e1b0d&fccid=f17180ffbe436a3c&vjs=3,Data Scientist - II,London W4 5YB,,"We are looking for top talent, whose deep quantitative expertise and problem-solving skills are matched only by their passion for Maths and Data Design."
https://uk.indeed.com/rc/clk?jk=248ff08347d91e8b&fccid=2c97f9555235f285&vjs=3,CONTRACT NETWORK SECURITY AUTOMATION ENGINEER,Bristol,£475 a week,Contract opportunity for a contract Network Security Automation Engineer.Day rate £350 – £475 per day (outside IR35).Fully Remote initial 6 month contract.
